breed_id,breed_name,code2,group,playable,country_origin,notes
1,Labrador Retriever,LR,Sporting,FALSE,Canada,
2,Golden Retriever,GR,Sporting,FALSE,United Kingdom,
3,Flat-Coated Retriever,FR,Sporting,FALSE,United Kingdom,
4,Chesapeake Bay Retriever,CB,Sporting,FALSE,USA,
5,Curly-Coated Retriever,CR,Sporting,FALSE,United Kingdom,
6,Nova Scotia Duck Tolling Retriever,TR,Sporting,FALSE,Canada,
7,German Shorthaired Pointer,GP,Sporting,FALSE,Germany,
8,German Wirehaired Pointer,GW,Sporting,FALSE,Germany,
9,Wirehaired Vizsla,WH,Sporting,FALSE,Hungary,
10,Vizsla,VZ,Sporting,FALSE,Hungary,
11,Weimaraner,WM,Sporting,FALSE,Germany,
12,Brittany,BT,Sporting,FALSE,France,
13,English Setter,ES,Sporting,FALSE,United Kingdom,
14,Gordon Setter,GS,Sporting,FALSE,United Kingdom,
15,Irish Setter,IS,Sporting,FALSE,Ireland,
16,Pointer,PT,Sporting,FALSE,United Kingdom,
17,Spinone Italiano,SI,Sporting,FALSE,Italy,
18,Lagotto Romagnolo,LG,Sporting,FALSE,Italy,
19,Bracco Italiano,BI,Sporting,FALSE,Italy,
20,Small Munsterlander,SM,Sporting,FALSE,Germany,
21,Afghan Hound,AF,Hound,FALSE,Afghanistan,
22,Saluki,SL,Hound,FALSE,Middle East,
23,Greyhound,GH,Hound,FALSE,United Kingdom,
24,Whippet,WP,Hound,FALSE,United Kingdom,
25,Scottish Deerhound,SD,Hound,FALSE,United Kingdom,
26,Irish Wolfhound,IW,Hound,FALSE,Ireland,
27,Pharaoh Hound,PH,Hound,FALSE,Malta,
28,Ibizan Hound,IH,Hound,FALSE,Spain,
29,Azawakh,AZ,Hound,FALSE,Africa,
30,Sloughi,SG,Hound,FALSE,Morocco,
31,Basenji,BJ,Hound,FALSE,Africa,
32,Beagle,BG,Hound,FALSE,United Kingdom,
33,Basset Hound,BH,Hound,FALSE,France,
34,Bloodhound,BL,Hound,FALSE,Belgium,
35,Black and Tan Coonhound,BT,Hound,FALSE,USA,
36,Bluetick Coonhound,BC,Hound,FALSE,USA,
37,Redbone Coonhound,RC,Hound,FALSE,USA,
38,Treeing Walker Coonhound,TW,Hound,FALSE,USA,
39,American Foxhound,AX,Hound,FALSE,USA,
40,English Foxhound,EX,Hound,FALSE,United Kingdom,
41,Boxer,BX,Working,FALSE,Germany,
42,Doberman Pinscher,DP,Working,FALSE,Germany,
43,Rottweiler,RT,Working,FALSE,Germany,
44,Great Dane,GD,Working,FALSE,Germany,
45,Saint Bernard,SB,Working,FALSE,Switzerland,
46,Newfoundland,NF,Working,FALSE,Canada,
47,Bernese Mountain Dog,BM,Working,FALSE,Switzerland,
48,Greater Swiss Mountain Dog,SW,Working,FALSE,Switzerland,
49,Leonberger,LB,Working,FALSE,Germany,
50,Tibetan Mastiff,TM,Working,FALSE,Tibet,
51,Bullmastiff,BM,Working,FALSE,United Kingdom,
52,Cane Corso,CC,Working,FALSE,Italy,
53,Dogue de Bordeaux,DB,Working,FALSE,France,
54,Anatolian Shepherd,AS,Working,FALSE,Turkey,
55,Akita,AK,Working,FALSE,Japan,
56,Alaskan Malamute,AM,Working,FALSE,USA,
57,Siberian Husky,SH,Working,FALSE,Russia,
58,Samoyed,SY,Working,FALSE,Russia,
59,Keeshond,KH,Working,FALSE,Netherlands,
60,Chinook,CK,Working,FALSE,USA,
61,Airedale Terrier,AT,Terrier,FALSE,United Kingdom,
62,American Staffordshire Terrier,ST,Terrier,FALSE,USA,
63,Bull Terrier,BU,Terrier,FALSE,United Kingdom,
