Breed,breedCode2,Group,HeadWeight,ForequartersWeight,HindquartersWeight,GaitWeight,CoatWeight,SizeWeight,TemperamentWeight,ShowShineWeight,FeetWeight,ToplineWeight,RulesVersion,IsActive,Source,Notes
Labrador Retriever,LR,Sporting,7.00,11.00,11.00,11.00,11.00,11.00,11.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Golden Retriever,GR,Sporting,7.00,11.00,11.00,11.00,10.00,11.00,11.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
German Shorthaired Pointer,GP,Sporting,10.00,11.00,11.00,11.00,9.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Saluki,SL,Hound,9.00,11.00,11.00,11.00,10.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Irish Wolfhound,IW,Hound,10.00,11.00,11.00,10.00,10.00,11.00,10.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Beagle,BG,Hound,11.00,10.00,10.00,10.00,9.00,12.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Boxer,BX,Working,9.00,11.00,11.00,11.00,9.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Rottweiler,RT,Working,10.00,11.00,11.00,11.00,9.00,10.00,11.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Leonberger,LB,Working,8.00,11.00,11.00,10.00,11.00,11.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Staffordshire Bull Terrier,SB,Terrier,11.00,11.00,11.00,10.00,9.00,10.00,11.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Bedlington Terrier,BO,Terrier,10.00,10.00,10.00,10.00,11.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Norwich Terrier,NW,Terrier,12.00,10.00,10.00,10.00,10.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Chihuahua,CH,Toy,13.00,9.00,9.00,9.00,10.00,12.00,10.00,9.00,9.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Italian Greyhound,IG,Toy,9.00,11.00,11.00,11.00,9.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Brussels Griffon,BQ,Toy,13.00,9.00,9.00,9.00,12.00,10.00,10.00,9.00,9.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Poodle Standard,PS,Non-Sporting,12.00,9.00,9.00,9.00,12.00,11.00,9.00,11.00,9.00,9.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source breed label 'Standard Poodle' mapped to canonical breeds.csv name 'Poodle Standard'.
Bulldog,BD,Non-Sporting,11.00,11.00,11.00,8.00,9.00,11.00,11.00,8.00,11.00,9.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
French Bulldog,FB,Non-Sporting,14.00,9.00,9.00,8.00,9.00,12.00,12.00,9.00,9.00,9.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
German Shepherd Dog,GM,Herding,10.00,11.00,11.00,11.00,8.00,10.00,11.00,7.00,10.00,11.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Border Collie,BC,Herding,10.00,11.00,11.00,11.00,9.00,10.00,11.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Australian Shepherd,AS,Herding,8.00,11.00,11.00,11.00,10.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
