breed_name,code2,group,playable,release_version
Labrador Retriever,LR,Sporting,TRUE,1
Golden Retriever,GR,Sporting,TRUE,1
German Shorthaired Pointer,GP,Sporting,TRUE,1
Saluki,SL,Hound,TRUE,1
Irish Wolfhound,IW,Hound,TRUE,1
Beagle,BG,Hound,TRUE,1
Boxer,BX,Working,TRUE,1
Rottweiler,RT,Working,TRUE,1
Leonberger,LB,Working,TRUE,1
Staffordshire Bull Terrier,SB,Terrier,TRUE,1
Bedlington Terrier,BO,Terrier,TRUE,1
Norwich Terrier,NW,Terrier,TRUE,1
Chihuahua,CH,Toy,TRUE,1
Italian Greyhound,IG,Toy,TRUE,1
Brussels Griffon,BQ,Toy,TRUE,1
Poodle Standard,PS,Non-Sporting,TRUE,1
Bulldog,BD,Non-Sporting,TRUE,1
French Bulldog,FB,Non-Sporting,TRUE,1
German Shepherd Dog,GM,Herding,TRUE,1
Border Collie,BC,Herding,TRUE,1
Australian Shepherd,AS,Herding,TRUE,1
Chesapeake Bay Retriever,CB,Sporting,TRUE,2
Vizsla,VZ,Sporting,TRUE,2
Weimaraner,WM,Sporting,TRUE,2
Greyhound,GH,Hound,TRUE,2
Pharaoh Hound,PH,Hound,TRUE,2
Great Dane,GD,Working,TRUE,2
Bernese Mountain Dog,MD,Working,TRUE,2
Cane Corso,CC,Working,TRUE,2
Scottish Terrier,SC,Terrier,TRUE,2
Welsh Terrier,WT,Terrier,TRUE,2
Papillon,PP,Toy,TRUE,2
Toy Poodle,TP,Toy,TRUE,2
Chinese Crested,CI,Toy,TRUE,2
Dalmatian,DL,Non-Sporting,TRUE,2
Chow Chow,CO,Non-Sporting,TRUE,2
Schipperke,SK,Non-Sporting,TRUE,2
Belgian Sheepdog,AY,Herding,TRUE,2
Briard,BR,Herding,TRUE,2
Puli,PU,Herding,TRUE,2
American Pit Bull Terrier,PB,Terrier,TRUE,2
Borzoi,BZ,Hound,TRUE,2
Nova Scotia Duck Tolling Retriever,DT,Sporting,TRUE,3
Gordon Setter,GS,Sporting,TRUE,3
Irish Setter,IS,Sporting,TRUE,3
Bloodhound,BL,Hound,TRUE,3
Tibetan Mastiff,TM,Working,TRUE,3
Samoyed,SY,Working,TRUE,3
Airedale Terrier,AT,Terrier,TRUE,3
Bull Terrier,BU,Terrier,TRUE,3
Parson Russell Terrier,PR,Terrier,TRUE,3
Affenpinscher,AP,Toy,TRUE,3
Cavalier King Charles Spaniel,CK,Toy,TRUE,3
Havanese,HV,Toy,TRUE,3
Shiba Inu,SI,Non-Sporting,TRUE,3
Lhasa Apso,LA,Non-Sporting,TRUE,3
Boston Terrier,BS,Non-Sporting,TRUE,3
Smooth Collie,SO,Herding,TRUE,3
Komondor,KM,Herding,TRUE,3
Canaan Dog,CG,Herding,TRUE,3
American Bulldog,AB,Working,TRUE,3
Otterhound,OH,Hound,TRUE,3
Harrier,HR,Hound,TRUE,3
Wirehaired Vizsla,WV,Sporting,TRUE,4
Pointer,PT,Sporting,TRUE,4
Spinone Italiano,SP,Sporting,TRUE,4
Whippet,WP,Hound,TRUE,4
Redbone Coonhound,RB,Hound,TRUE,4
Saint Bernard,SA,Working,TRUE,4
Greater Swiss Mountain Dog,SW,Working,TRUE,4
Siberian Husky,SH,Working,TRUE,4
American Staffordshire Terrier,ST,Terrier,TRUE,4
Border Terrier,TB,Terrier,TRUE,4
Dandie Dinmont Terrier,DD,Terrier,TRUE,4
Maltese,ML,Toy,TRUE,4
