judgeCode,judgeName,style,typeExpressionWeight,structureBalanceWeight,movementWeight,coatPresentationWeight,temperamentBehaviorWeight,conditioningHandlingWeight,variance
JDG-0001,Mrs. Abigail Mercer,balanced,1.00,1.05,1.00,0.95,1.00,0.90,0.34
JDG-0002,Mr. Alan Whitcombe,movement_specialist,0.90,1.05,1.30,0.85,1.00,0.90,0.41
JDG-0003,Dr. Amanda K. Lewis,type_judge,1.30,1.00,0.95,0.90,0.95,0.85,0.36
JDG-0004,Mrs. Andrea Holloway,structure_judge,0.95,1.30,1.10,0.90,0.95,0.85,0.32
JDG-0005,Mr. Anthony Devereaux,coat_specialist,0.95,0.95,0.90,1.35,0.95,0.90,0.38
JDG-0006,Mrs. Barbara Ellington,balanced,1.05,1.00,1.00,1.00,0.95,0.95,0.33
JDG-0007,Mr. Benjamin Frost,temperament_focused,0.95,0.95,0.95,0.90,1.35,1.00,0.37
JDG-0008,Mrs. Beverly Tate,conditioning_focused,0.90,0.95,0.95,1.00,1.00,1.35,0.35
JDG-0009,Dr. Brandon Keller,movement_specialist,0.90,1.00,1.30,0.85,1.00,0.90,0.40
JDG-0010,Mrs. Caitlin Monroe,type_judge,1.25,1.00,1.00,0.95,0.95,0.85,0.34
JDG-0011,Mr. Calvin Rhodes,structure_judge,0.95,1.30,1.15,0.90,0.90,0.85,0.31
JDG-0012,Mrs. Candace Hill,balanced,1.00,1.00,1.05,1.00,1.00,0.95,0.33
JDG-0013,Mr. Charles Avery,movement_specialist,0.90,1.05,1.35,0.85,0.95,0.85,0.42
JDG-0014,Mrs. Charlotte Green,coat_specialist,0.95,0.95,0.90,1.30,1.00,0.90,0.39
JDG-0015,Mr. Christopher Dane,type_judge,1.35,1.00,0.90,0.95,0.95,0.80,0.36
JDG-0016,Mrs. Clara Bennett,balanced,1.00,1.05,1.00,1.00,0.95,0.95,0.34
JDG-0017,Dr. Colin Mercer,structure_judge,0.95,1.35,1.10,0.85,0.90,0.85,0.30
JDG-0018,Mrs. Cynthia Lowell,temperament_focused,0.95,0.95,0.95,0.90,1.30,1.05,0.37
JDG-0019,Mr. Daniel Hart,movement_specialist,0.90,1.00,1.30,0.85,1.00,0.90,0.41
JDG-0020,Mrs. Danielle Pierce,balanced,1.00,1.00,1.00,1.00,1.00,1.00,0.35
JDG-0021,Mr. David Lockwood,type_judge,1.30,1.00,0.95,0.90,1.00,0.85,0.36
JDG-0022,Mrs. Deborah Mills,structure_judge,0.95,1.25,1.15,0.90,0.95,0.85,0.31
JDG-0023,Mr. Dennis Hollowell,coat_specialist,0.95,0.95,0.90,1.35,0.95,0.90,0.40
JDG-0024,Mrs. Diane Farrow,balanced,1.05,1.00,1.00,0.95,1.00,0.95,0.33
JDG-0025,Dr. Dominic Fraser,movement_specialist,0.90,1.00,1.35,0.85,0.95,0.90,0.43
JDG-0026,Mrs. Edith Vaughn,type_judge,1.25,1.05,0.95,0.90,0.95,0.85,0.35
JDG-0027,Mr. Edward Sinclair,structure_judge,0.95,1.30,1.10,0.90,0.95,0.85,0.30
JDG-0028,Mrs. Eleanor Marsh,balanced,1.00,1.00,1.05,1.00,0.95,0.95,0.34
JDG-0029,Mr. Elijah Burke,temperament_focused,0.95,0.95,0.95,0.90,1.35,1.00,0.38
JDG-0030,Mrs. Elizabeth Conway,conditioning_focused,0.90,0.95,0.95,1.00,1.00,1.30,0.36
JDG-0031,Mr. Ethan Rowe,movement_specialist,0.90,1.00,1.30,0.85,1.00,0.90,0.40
JDG-0032,Mrs. Evelyn Porter,type_judge,1.30,1.00,0.95,0.90,1.00,0.85,0.36
JDG-0033,Mr. Felix Garner,structure_judge,0.95,1.35,1.10,0.90,0.90,0.85,0.31
JDG-0034,Mrs. Fiona Bell,balanced,1.00,1.05,1.00,1.00,0.95,0.95,0.33
JDG-0035,Mr. Franklin Hayes,coat_specialist,0.95,0.95,0.90,1.30,1.00,0.90,0.39
JDG-0036,Mrs. Gabrielle Watts,type_judge,1.35,1.00,0.90,0.95,0.95,0.85,0.35
JDG-0037,Mr. Gavin Mercer,movement_specialist,0.90,1.05,1.35,0.85,0.95,0.90,0.42
JDG-0038,Mrs. Georgia Sloan,balanced,1.00,1.00,1.05,1.00,1.00,0.95,0.34
JDG-0039,Mr. Gregory Pierce,structure_judge,0.95,1.30,1.15,0.90,0.90,0.85,0.30
JDG-0040,Mrs. Hannah Doyle,temperament_focused,0.95,0.95,0.95,0.90,1.30,1.05,0.37
JDG-0041,Mr. Harold Whitman,balanced,1.05,1.00,1.00,0.95,1.00,0.95,0.33
JDG-0042,Mrs. Heather Lang,movement_specialist,0.90,1.00,1.30,0.85,1.00,0.90,0.41
JDG-0043,Mr. Henry Dalton,type_judge,1.30,1.00,0.95,0.90,1.00,0.85,0.36
JDG-0044,Mrs. Holly Bennett,structure_judge,0.95,1.30,1.10,0.90,0.95,0.85,0.31
JDG-0045,Mr. Ian Fletcher,coat_specialist,0.95,0.95,0.90,1.35,0.95,0.90,0.39
JDG-0046,Mrs. Irene Whitaker,balanced,1.00,1.05,1.00,1.00,0.95,0.95,0.34
JDG-0047,Mr. Isaac Ford,movement_specialist,0.90,1.00,1.35,0.85,0.95,0.90,0.43
JDG-0048,Mrs. Isabelle Monroe,type_judge,1.25,1.05,0.95,0.90,0.95,0.85,0.35
JDG-0049,Mr. Jack Holloway,structure_judge,0.95,1.35,1.10,0.85,0.90,0.85,0.30
JDG-0050,Mrs. Jacqueline Reese,balanced,1.00,1.00,1.05,1.00,1.00,0.95,0.34
JDG-0051,Mr. James Whitcomb,temperament_focused,0.95,0.95,0.95,0.90,1.35,1.00,0.38
JDG-0052,Mrs. Janet Avery,conditioning_focused,0.90,0.95,0.95,1.00,1.00,1.35,0.35
JDG-0053,Mr. Jared Coleman,movement_specialist,0.90,1.05,1.30,0.85,1.00,0.90,0.40
JDG-0054,Mrs. Jasmine Ellis,type_judge,1.30,1.00,0.95,0.90,0.95,0.85,0.36
JDG-0055,Mr. Jason Mills,structure_judge,0.95,1.30,1.15,0.90,0.90,0.85,0.31
JDG-0056,Mrs. Jeanette Morris,coat_specialist,0.95,0.95,0.90,1.30,1.00,0.90,0.39
JDG-0057,Mr. Jeffrey Sloan,balanced,1.00,1.00,1.00,1.00,1.00,0.95,0.34
JDG-0058,Mrs. Jennifer Vaughn,movement_specialist,0.90,1.00,1.35,0.85,0.95,0.90,0.42
JDG-0059,Mr. Jeremy Rhodes,type_judge,1.35,1.00,0.90,0.95,0.95,0.80,0.35
JDG-0060,Mrs. Jillian Foster,structure_judge,0.95,1.35,1.10,0.90,0.90,0.85,0.30
JDG-0061,Mr. Joel Mercer,balanced,1.00,1.05,1.00,1.00,0.95,0.95,0.33
JDG-0062,Mrs. Joanna Blake,temperament_focused,0.95,0.95,0.95,0.90,1.30,1.05,0.37
JDG-0063,Mr. John Bennett,movement_specialist,0.90,1.00,1.30,0.85,1.00,0.90,0.41
JDG-0064,Mrs. Jordan Pierce,type_judge,1.30,1.00,0.95,0.90,1.00,0.85,0.36
JDG-0065,Mr. Joseph Tate,structure_judge,0.95,1.30,1.10,0.90,0.95,0.85,0.31
JDG-0066,Mrs. Joyce Franklin,balanced,1.05,1.00,1.00,0.95,1.00,0.95,0.33
JDG-0067,Mr. Julian Marsh,coat_specialist,0.95,0.95,0.90,1.35,0.95,0.90,0.40
JDG-0068,Mrs. Julia Lang,type_judge,1.25,1.05,0.95,0.90,0.95,0.85,0.35
JDG-0069,Mr. Justin Hale,movement_specialist,0.90,1.05,1.35,0.85,0.95,0.90,0.43
JDG-0070,Mrs. Karen Fletcher,balanced,1.00,1.00,1.05,1.00,1.00,0.95,0.34
JDG-0071,Mr. Keith Hollowell,structure_judge,0.95,1.35,1.10,0.85,0.90,0.85,0.30
JDG-0072,Mrs. Kelly Monroe,temperament_focused,0.95,0.95,0.95,0.90,1.35,1.00,0.38
JDG-0073,Mr. Kenneth Bell,movement_specialist,0.90,1.00,1.30,0.85,1.00,0.90,0.40
JDG-0074,Mrs. Kimberly Watts,type_judge,1.35,1.00,0.90,0.95,0.95,0.85,0.35
JDG-0075,Mr. Kyle Whitman,structure_judge,0.95,1.30,1.15,0.90,0.90,0.85,0.31
JDG-0076,Mrs. Laura Mercer,balanced,1.00,1.05,1.00,1.00,0.95,0.95,0.34
JDG-0077,Mr. Lawrence Doyle,coat_specialist,0.95,0.95,0.90,1.30,1.00,0.90,0.39
JDG-0078,Mrs. Leah Porter,type_judge,1.30,1.00,0.95,0.90,1.00,0.85,0.36
JDG-0079,Mr. Leonard Hayes,movement_specialist,0.90,1.00,1.35,0.85,0.95,0.90,0.42
JDG-0080,Mrs. Leslie Dalton,balanced,1.05,1.00,1.00,0.95,1.00,0.95,0.33
JDG-0081,Mr. Logan Bennett,structure_judge,0.95,1.35,1.10,0.90,0.90,0.85,0.30
JDG-0082,Mrs. Lori Whitaker,temperament_focused,0.95,0.95,0.95,0.90,1.30,1.05,0.37
JDG-0083,Mr. Louis Mercer,movement_specialist,0.90,1.00,1.30,0.85,1.00,0.90,0.41
JDG-0084,Mrs. Lydia Reese,type_judge,1.25,1.05,0.95,0.90,0.95,0.85,0.35
JDG-0085,Mr. Marcus Sloan,structure_judge,0.95,1.30,1.15,0.90,0.90,0.85,0.31
JDG-0086,Mrs. Margaret Blake,balanced,1.00,1.00,1.05,1.00,1.00,0.95,0.34
JDG-0087,Mr. Martin Ellis,coat_specialist,0.95,0.95,0.90,1.35,0.95,0.90,0.40
JDG-0088,Mrs. Mary Holloway,type_judge,1.35,1.00,0.90,0.95,0.95,0.85,0.35
JDG-0089,Mr. Mason Rhodes,movement_specialist,0.90,1.05,1.35,0.85,0.95,0.90,0.43
JDG-0090,Mrs. Megan Avery,balanced,1.00,1.05,1.00,1.00,0.95,0.95,0.33
JDG-0091,Mr. Michael Conway,structure_judge,0.95,1.35,1.10,0.85,0.90,0.85,0.30
JDG-0092,Mrs. Michelle Tate,temperament_focused,0.95,0.95,0.95,0.90,1.35,1.00,0.38
JDG-0093,Mr. Nathan Pierce,movement_specialist,0.90,1.00,1.30,0.85,1.00,0.90,0.40
JDG-0094,Mrs. Natalie Vaughn,type_judge,1.30,1.00,0.95,0.90,1.00,0.85,0.36
JDG-0095,Mr. Nicholas Foster,structure_judge,0.95,1.30,1.15,0.90,0.90,0.85,0.31
JDG-0096,Mrs. Nicole Mercer,balanced,1.05,1.00,1.00,0.95,1.00,0.95,0.33
JDG-0097,Mr. Noah Franklin,coat_specialist,0.95,0.95,0.90,1.30,1.00,0.90,0.39
JDG-0098,Mrs. Olivia Bell,type_judge,1.25,1.05,0.95,0.90,0.95,0.85,0.35
JDG-0099,Mr. Oliver Whitcomb,movement_specialist,0.90,1.05,1.35,0.85,0.95,0.90,0.42
JDG-0100,Mrs. Pamela Lang,balanced,1.00,1.00,1.05,1.00,1.00,0.95,0.34
JDG-0101,Mr. Patrick Mercer,structure_judge,0.95,1.35,1.10,0.85,0.90,0.85,0.30
JDG-0102,Mrs. Patricia Monroe,temperament_focused,0.95,0.95,0.95,0.90,1.30,1.05,0.37
JDG-0103,Mr. Paul Fletcher,movement_specialist,0.90,1.00,1.30,0.85,1.00,0.90,0.41
